TOT_POP,Bachelor's degree or higher 2014-18,Population Aged 60+,STATE_FIPS,anycondition_number,Total Hospitals (2019)
2430.0,280.0,724.0,30.0,788.0,0.128098804
7682.0,980.0,2038.0,20.0,2690.0,0.366751216
26846.0,2650.0,6046.0,48.0,10179.0,0.489183117
3741.0,242.0,608.0,48.0,1287.0,0.068167848
70941.0,5994.0,14679.0,22.0,26805.0,2.405307064
28710.0,6079.0,5912.0,20.0,9302.0,1.370662252
24949.0,3383.0,4799.0,40.0,8857.0,0.790911113
9611.0,1171.0,2496.0,17.0,3453.0,0.14106002
12311.0,1051.0,2555.0,21.0,5298.0,0.289287983
30816.0,4382.0,9166.0,13.0,11421.0,0.424766445
34208.0,5230.0,8041.0,17.0,10820.0,0.502068584
33169.0,3909.0,8184.0,27.0,10462.0,0.750726897
55852.0,6940.0,14724.0,29.0,21228.0,1.11221699
39694.0,8589.0,11094.0,23.0,13623.0,1.008362199
135428.0,23841.0,30856.0,55.0,40826.0,3.098256355
3533.0,562.0,1110.0,31.0,1286.0,0.170307599
11169.0,1096.0,2610.0,19.0,3921.0,0.417579674
749.0,108.0,185.0,48.0,288.0,0.013648147
72133.0,14968.0,18043.0,15.0,19376.0,1.117167233
62075.0,6741.0,14861.0,37.0,22744.0,0.669554548
24192.0,2911.0,5825.0,41.0,8271.0,0.352138646
86983.0,15877.0,16810.0,29.0,29034.0,1.732148722
713856.0,167680.0,116223.0,8.0,171626.0,11.15485385
18691.0,2657.0,4286.0,27.0,5463.0,0.423040684
18486.0,1733.0,4794.0,47.0,7444.0,0.314015784
9541.0,1428.0,2983.0,38.0,3325.0,0.489554348
292502.0,77725.0,49057.0,12.0,92379.0,2.980044391
18627.0,2981.0,4727.0,19.0,6813.0,0.696414772
8777.0,1078.0,3106.0,6.0,3110.0,0.079655672
19479.0,2490.0,4574.0,17.0,6778.0,0.285892012
56530.0,5701.0,14964.0,47.0,21840.0,0.960257075
41550.0,4376.0,11322.0,39.0,16824.0,0.689570982
10881.0,963.0,1928.0,31.0,3548.0,0.524516552
14836.0,3596.0,5121.0,51.0,5783.0,0.167211631
17824.0,1493.0,4698.0,26.0,6854.0,0.256770491
24265.0,1586.0,5106.0,47.0,9528.0,0.412181814
8716.0,1987.0,2181.0,31.0,2813.0,0.420153136
88690.0,9991.0,18943.0,1.0,36408.0,1.832636336
27271.0,2795.0,7131.0,37.0,10829.0,0.29415098
90180.0,27049.0,12950.0,19.0,22395.0,3.371594144
2637772.0,506554.0,377154.0,48.0,820238.0,48.06502007
39498.0,5644.0,11948.0,42.0,15698.0,0.613731957
1127.0,119.0,267.0,16.0,418.0,0.028910483
42733.0,5329.0,13064.0,40.0,18460.0,1.354683738
2987.0,436.0,986.0,6.0,1039.0,0.027108521
60537.0,10698.0,17518.0,48.0,23089.0,1.103094627
332330.0,51252.0,52166.0,37.0,104063.0,3.584584182
476.0,80.0,164.0,31.0,168.0,0.02294549
29970.0,4383.0,7553.0,13.0,10650.0,0.413105217
42132.0,5519.0,11602.0,53.0,14251.0,0.514378235
33304.0,3776.0,6877.0,24.0,13572.0,0.275571357
67653.0,8988.0,18095.0,41.0,21311.0,0.984756771
6955.0,937.0,2245.0,54.0,3233.0,0.215678978
2611.0,353.0,807.0,16.0,761.0,0.066978944
10558.0,854.0,2693.0,18.0,4446.0,0.20826082
16106.0,1316.0,3627.0,21.0,6786.0,0.378464158
22601.0,2066.0,5331.0,13.0,9031.0,0.311531231
29955.0,5968.0,7097.0,17.0,10463.0,0.439647581
6111.0,746.0,1301.0,46.0,1763.0,0.394823375
103551.0,31252.0,15454.0,27.0,24418.0,2.343710119
50592.0,6163.0,13707.0,23.0,19116.0,1.285208353
229642.0,39658.0,62316.0,39.0,97916.0,3.811178327
81069.0,7812.0,16484.0,21.0,35881.0,1.904986391
38701.0,4393.0,10199.0,17.0,15821.0,0.568012052
47079.0,6533.0,14046.0,37.0,20171.0,0.507804407
9226.0,967.0,2780.0,16.0,3311.0,0.236670908
15449.0,1635.0,2833.0,49.0,5195.0,0.263909614
22304.0,3466.0,4356.0,29.0,7253.0,0.444153974
131533.0,26756.0,22880.0,21.0,46740.0,3.090806288
8276.0,1138.0,2671.0,27.0,3024.0,0.187313932
23341.0,2242.0,6243.0,26.0,8926.0,0.336247757
10769.0,1797.0,4271.0,51.0,4301.0,0.121373824
13376.0,2295.0,3710.0,56.0,4467.0,0.671419694
159442.0,33483.0,35905.0,36.0,52230.0,1.354369509
113459.0,35115.0,25277.0,13.0,31502.0,1.563914074
13938.0,1369.0,3450.0,13.0,5485.0,0.192120805
11640.0,3050.0,1500.0,16.0,3035.0,0.29859629
15041.0,1341.0,4939.0,26.0,6370.0,0.216678913
172828.0,47013.0,29727.0,17.0,50324.0,2.536585282
34993.0,6177.0,8536.0,30.0,11224.0,1.844675493
60949.0,6299.0,17512.0,51.0,23704.0,0.686935946
16006.0,2654.0,5273.0,41.0,5948.0,0.232983266
39563.0,3960.0,8664.0,28.0,16375.0,1.311467489
20544.0,2270.0,4901.0,45.0,7843.0,0.278816009
27604.0,3072.0,8008.0,17.0,11004.0,0.405142107
4059.0,755.0,1371.0,53.0,1465.0,0.049555237
8351.0,803.0,2190.0,13.0,3212.0,0.115109832
51653.0,6975.0,13966.0,26.0,18101.0,0.744107168
4921.0,620.0,1716.0,48.0,1970.0,0.089669601
14275.0,1822.0,3897.0,45.0,6498.0,0.193735326
8802.0,1915.0,3293.0,51.0,3128.0,0.09920442
4358.0,385.0,542.0,38.0,1573.0,0.223611555
14041.0,3372.0,2187.0,46.0,4233.0,0.907169858
42929.0,6283.0,9608.0,19.0,15180.0,1.605002939
69410.0,7662.0,16583.0,13.0,27267.0,0.956744514
259103.0,72933.0,64710.0,37.0,76427.0,2.794741718
21067.0,2078.0,5536.0,1.0,9388.0,0.435315703
6040.0,772.0,1621.0,19.0,2201.0,0.22581979
20092.0,2003.0,5248.0,18.0,7445.0,0.396322826
370963.0,125423.0,65781.0,26.0,105037.0,5.344050245
23517.0,2109.0,5355.0,28.0,8971.0,0.77956123
1362.0,135.0,369.0,48.0,533.0,0.024818126
35564.0,4253.0,9309.0,28.0,14951.0,1.178905285
118791.0,32817.0,22759.0,30.0,26831.0,6.262133756
20786.0,1485.0,6172.0,54.0,9519.0,0.644587093
75317.0,10369.0,17686.0,28.0,27187.0,2.496671053
17142.0,1502.0,4150.0,45.0,7144.0,0.232645251
522046.0,181587.0,109411.0,42.0,133178.0,8.111709791
147381.0,36166.0,20208.0,27.0,38151.0,3.335731582
26533.0,5964.0,6129.0,21.0,9984.0,0.62348128
15944.0,1742.0,3960.0,22.0,7696.0,0.54059311
122492.0,18420.0,33231.0,42.0,46748.0,1.903318014
53126.0,5486.0,7862.0,48.0,18373.0,0.968052681
5754.0,867.0,1503.0,40.0,2230.0,0.182408214
6843.0,1074.0,1917.0,8.0,2355.0,0.10693006
